,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
field,Type,Level,Parent Path,Code,Description
257,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,CONVEYOR_SYSTEMS,Conveyor Systems
258,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,ELECTRIC_MOTORS,Electric Motors
259,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,HYDRAULICS_EQUIPMENT,Hydraulics & Pneumatics Equipment
260,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,FORKLIFTS,Forklifts
261,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,CRANES,Cranes
262,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,WELDING_EQUIPMENT,Welding Equipment
263,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,FORKLIFTS_PALLET_JACKS,Forklifts & Pallet Jacks
264,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,INDUSTRIAL_FANS,Industrial Fans
265,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,HEAT_EXCHANGERS,Heat Exchangers
266,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,MHE,Material Handling Equipment
267,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,INDUSTRIAL_ROBOTS,Industrial Robots
268,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,COMPRESSORS,Compressors
269,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,BOILER_SYSTEMS,Boiler Systems
270,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,LUBRICATION_SYSTEMS,Lubrication Systems
271,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,FILTRATION_SYSTEMS,Filtration Systems
272,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,BLAST_FURNACES,Blast Furnaces
273,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,PRESSURE_WASHERS,Pressure Washers
274,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,SHELVING_UNITS,Shelving Units
275,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,RACKING_SYSTEMS,Racking Systems
276,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,PALLET_RACKS,Pallet Racks
277,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,MOBILESTORAGE_UNITS,Mobile Storage Units
278,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,VERTICALLIFT_MODULES,Vertical Lift Modules
279,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,ASRS,Automated Storage and Retrieval Systems (ASRS)
280,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,CABINET,Cabinets
281,ASSET,Level_002,ASSET#STORAGE_SYSTEMS,LOCKERS,Lockers
