,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
field,Type,Level,Parent Path,Code,Description
845,REASON,Level_001,REASON,LOST,Lost
846,REASON,Level_001,REASON,ERROR,Error
847,REASON,Level_001,REASON,DEFECT,Defect
848,REASON,Level_001,REASON,SERVICE,Service
849,REASON,Level_001,REASON,NA,NA
850,ASSETTYP,Level_001,ASSETTYP,VEHICLES,Vehicles
851,ASSETTYP,Level_001,ASSETTYP,EQUIPMENT,Equipment
852,ASSETTYP,Level_001,ASSETTYP,FURNITURES,Furniture
853,ASSETTYP,Level_001,ASSETTYP,IT_ASSETS,IT Assets
854,ASSETTYP,Level_001,ASSETTYP,FIXED_ASSETS,Fixed Assets
855,ASSETTYP,Level_001,ASSETTYP,SAFETY_ASSETS,Safety and Security Assets
856,ASSETTYP,Level_001,ASSETTYP,IOT_ASSETS,IOT and Telecom Assets
857,ASSETTYP,Level_001,ASSETTYP,OTHER_AST,Other
858,PARTNERTYPE,Level_001,PARTNERTYPE,IND,Individual
859,PARTNERTYPE,Level_001,PARTNERTYPE,RET,Retailer
860,PARTNERTYPE,Level_001,PARTNERTYPE,DST,Distributor
861,PARTNERTYPE,Level_001,PARTNERTYPE,WHS,Wholesaler
862,PARTNERTYPE,Level_001,PARTNERTYPE,COR,Corporate
863,PARTNERTYPE,Level_001,PARTNERTYPE,GOV,Government Agency
864,PARTNERTYPE,Level_001,PARTNERTYPE,NGO,Non-Profit Organization
865,PARTNERTYPE,Level_001,PARTNERTYPE,EXP,Exporter
866,PARTNERTYPE,Level_001,PARTNERTYPE,IMP,Importer
867,PARTNERTYPE,Level_001,PARTNERTYPE,OEM,Original Equipment Manufacturer
868,PARTNERTYPE,Level_001,PARTNERTYPE,OTH,Other
869,PARTNERTYPE,Level_001,PARTNERTYPE,SUP,Supplier
870,PARTNERTYPE,Level_001,PARTNERTYPE,MFR,Manufacturer
871,PARTNERTYPE,Level_001,PARTNERTYPE,LOG,Logistics Provider
872,PARTNERTYPE,Level_001,PARTNERTYPE,SRV,Service Provider
873,PARTNERTYPE,Level_001,PARTNERTYPE,CON,Contractor
874,PARTNERTYPE,Level_001,PARTNERTYPE,FRE,Freight Forwarder
875,PARTNERTYPE,Level_001,PARTNERTYPE,OTHERVENDOR,Other
876,SERVICETYP,Level_001,SERVICETYP,INSTALLATION,Installation
877,SERVICETYP,Level_001,SERVICETYP,REPAIR,Repair
878,SERVICETYP,Level_001,SERVICETYP,INSPECTION,Inspection
879,SERVICETYP,Level_001,SERVICETYP,REPLACEMENT,Replacement
880,SERVICETYP,Level_001,SERVICETYP,UPGRADATION,Upgradation
881,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,INDIVIDUALS,Individual
882,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,RETAILER,Retailer
883,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,DISTRIBUTOR,Distributor
884,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,WHOLESALER,Wholesaler
885,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,CORPORATE,Corporate
886,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,GOVERNMENT AGENCY,Government Agency
887,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,NON-PROFIT ORGANIZATION,Non-Profit Organization
888,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,EXPORTER,Exporter
889,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,IMPORTER,Importer
890,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,ORIGINAL EQUIPMENT MANUFACTURER,Original Equipment Manufacturer
891,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,OTHERS,Other
892,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,SUPPLIER,Supplier
893,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,MANUFACTURER,Manufacturer
894,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,LOGISTICS PROVIDER,Logistics Provider
895,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,SERVICE PROVIDER,Service Provider
896,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,CONTRACTORS,Contractor
897,BIZPARTNERTYPE,Level_001,BIZPARTNERTYPE,FREIGHT FORWARDER,Freight Forwarder
898,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,TRAVEL,Travel
899,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,ACCOMMODATION,Accommodation
900,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,FOOD,Food
901,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,FUEL,Fuel
902,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,PURCHASES,Purchase
903,EXPENSE_TYPE,Level_001,EXPENSE_TYPE,OTHER_EXP,Other
